name,lon,lat
Sztabowa,17.0141913,51.0885277
aleja Wiśniowa,17.01223490728826,51.086207032530076
Januszowicka,17.01437771632012,51.08563878915888
Ślężna,17.024685119790043,51.08377336352547
Sudecka,17.017900391642428,51.08550632254572
Pocztowa,17.014791024851288,51.0859237264842
Dyrekcyjna,17.03177673047125,51.09474227727486
Gliniana,17.031336831300255,51.0945961727989
Gajowa,17.04077760851163,51.095841719832436
Generała Kazimierza Pułaskiego,17.042301770752896,51.097082244651396
Sucha,17.04142918633335,51.09639611861601
Stanisława Małachowskiego,17.043410379036015,51.09822446600986
Komuny Paryskiej,17.046348550421087,51.101963101202834
Generała Romualda Traugutta,17.048836678750746,51.10440614625658
Plac Generała Walerego Wróblewskiego,17.048699447226493,51.10464269392849
most Grunwaldzki,17.052382766431684,51.10945787127587
plac Grunwaldzki,17.053554,51.10973295
Marii Curie-Skłodowskiej,17.060505070392466,51.11116154688448
wybrzeże Ludwika Pasteura,17.071111885426063,51.114468601443285
aleja Jana Kochanowskiego,17.07408255,51.116153499999996
Tadeusza Czackiego,17.0768671,51.118710050000004
Jerzego Samuela Bandtkiego,17.0772782,51.119447550000004
Oskara Kolberga,17.07783712859218,51.12101109705193
aleja Aleksandra Brücknera,17.08191950369573,51.13896257654766
Bolesława Krzywoustego,17.08657174140262,51.140454146640515
Rakowa,17.089292902195474,51.14097321975023
Józefa Mianowskiego,17.077936700000002,51.12484225
Odona Bujwida,17.067162877526656,51.11363169673961
Kładka Oporowska,16.97869252436358,51.080821602079695
rondo Bitwy Warszawskiej 1920 r.,16.96512188645371,51.05161691282778
Czekoladowa,16.965291601548135,51.05231885207111
Eugeniusza Kwiatkowskiego,16.964039773696523,51.05241068912
Zabrodzka,16.9571298006291,51.05874143287153
rondo Tadeusza Baranowskiego,16.95674739681104,51.06972251801143
Tyniecka,16.95962995,51.07137985
Tadeusza Wendy,16.9596137,51.07129705
Mokronoska,16.952144,51.07719725
Ibn Siny Awicenny,16.957601932050135,51.07886260138551
Wiejska,16.957737583523752,51.078750983645385
Cesarzowicka,16.957235550183405,51.07875464025304
Stanisławowska,16.94763544144949,51.096491855125564
rondo Mirosławy Chamcówny,16.94085035698342,51.099180174479685
Rakietowa,16.940739440892923,51.09902312842442
Mińska,16.941050600369508,51.09931139233806
Most nad Kasiną,16.940018149013596,51.09863089347032
Rondo Rotmistrza Witolda Pileckiego,16.949968816065862,51.1067696151839
Graniczna,16.95087940917453,51.107588904056264
Strzegomska,16.950829125579606,51.10742683925652
plac Powstańców Śląskich,17.01531465,51.08962495
Bernarda Pretficza,17.014980935327493,51.09037734071993
Swobodna,17.02696909594597,51.09918618657058
Wojciecha Bogusławskiego,17.028215529717258,51.10047809178969
Świdnicka,17.029023267121946,51.10121243954703
Kamienna,17.017913141196217,51.09001472662892
Wielka,17.020403072770986,51.093259037983934
Legnicka,17.02190525,51.11172229999999
Podwale,17.022078999999998,51.1117685
Poznańska,17.00622881046141,51.11348209944961
Przedmiejska,16.997527260545496,51.119525921683504
Lotnicza,16.97948295,51.12712005
Plac Strzegomski,17.006,51.113047249999994
Nabycińska,17.018305149847308,51.11230762398084
Plac Jana Pawła II,17.02203685,51.111435900000004
Rogowska,16.9553883,51.11012465
Estońska,16.960309832649777,51.11210096196889
Muchoborska,16.969620526281815,51.114219927647724
Robotnicza,16.98424954757489,51.114460369258346
Na Ostatnim Groszu,16.972282200000002,51.1196898
Bystrzycka,16.972379150000002,51.11961815
Krakowska,17.070844551753538,51.08595710253859
Ziębicka,17.05372449696956,51.08276865031317
Nowy Świat,17.031520399999998,51.113415
Pomorska,17.031488126386204,51.11346668039231
Antoniego Cieszyńskiego,17.02754955503431,51.112509956438245
